Name,Maths,English,PE,Art,History,IT,Biology,German
Harry,37,24,32,96,76,40,18,70
Christian,33,49,92,8,98,46,84,96
Brenda,45,17,7,65,50,12,30,68
Monica,92,14,64,92,73,6,39,65
Kathryn,27,61,77,22,40,84,67,89
Anthony,56,23,77,17,72,47,43,50
Michael,91,36,14,39,5,42,78,34
Jackie,80,18,43,30,94,1,92,90
Darlene,93,18,58,63,85,96,28,31
Sabrina,42,92,56,93,67,61,54,3
Ashley,80,48,43,10,26,18,46,86
Tiffany,94,99,26,24,16,93,85,24
John,0,15,33,91,91,70,53,12
Joseph,66,67,32,30,1,27,59,42
Christina,100,54,16,32,36,35,73,74
Desiree,46,26,2,97,71,20,54,76
Ashley,98,6,52,1,35,68,65,48
Jason,97,5,49,92,37,54,18,32
Diane,65,74,18,42,7,93,51,65
Hayden,82,76,7,48,12,82,9,26
Sarah,60,93,6,17,58,54,74,92
Dwayne,91,57,20,56,25,95,79,49
Melissa,77,63,12,84,76,72,29,35
Kristin,14,23,45,96,52,67,64,13
Steven,28,4,65,71,46,21,51,59
Denise,82,34,53,83,70,6,49,14
Molly,38,68,57,34,98,42,66,11
Carmen,14,86,83,68,65,70,41,25
Michael,51,26,2,73,8,88,32,7
Michael,81,28,59,85,88,5,16,100
Michael,11,46,67,35,57,78,26,71
Rachel,21,90,17,74,0,30,70,97
Ray,5,10,6,4,64,39,73,28
Matthew,36,90,91,35,41,26,44,79
Carla,1,26,70,10,22,79,73,42
Ashley,69,57,31,1,19,85,38,75
Michele,80,40,36,94,25,92,9,38
Charles,19,52,16,27,81,18,85,45
Christopher,3,87,59,95,59,4,60,36
Tracy,20,22,64,70,68,73,94,40
Melissa,42,19,11,87,100,47,69,90
Calvin,86,85,20,52,26,57,21,54
Ashley,32,97,97,32,88,11,49,72
Stephanie,77,21,9,61,56,27,45,58
Jessica,53,56,34,59,75,29,52,42
Susan,1,23,93,51,46,60,41,32
Leah,26,49,93,34,39,52,3,15
Carlos,26,3,59,40,22,70,84,19
Debra,77,28,66,88,90,14,97,73
Michael,12,40,34,50,64,85,57,22
Paul,56,85,12,17,59,12,85,47
Adam,77,67,40,41,19,67,46,64
Pamela,10,97,67,68,52,91,47,81
Cheryl,53,5,55,32,75,74,96,35
Earl,95,84,67,19,38,58,33,67
Dana,34,42,56,54,34,52,36,58
Christine,96,13,73,36,33,69,21,29
Mary,6,45,97,58,28,99,13,91
Ashley,91,1,37,20,69,0,51,22
Lisa,98,18,64,4,2,20,66,63
Catherine,78,32,79,10,53,10,99,87
Susan,100,87,82,40,92,58,21,59
Thomas,82,52,67,44,84,61,54,10
Kevin,7,35,97,10,79,70,48,81
Judy,58,98,55,44,47,48,42,46
Valerie,27,66,11,36,40,66,91,60
Briana,92,71,18,15,58,15,8,52
Travis,93,62,78,31,46,5,66,89
David,47,81,86,77,96,1,28,81
Jeremy,46,16,65,35,12,76,33,22
Joseph,34,35,42,4,93,84,7,94
Samuel,68,88,6,72,35,27,75,95
Daniel,11,54,23,87,79,14,45,60
John,11,5,10,93,81,40,18,62
Richard,35,100,19,26,86,55,39,64
David,36,90,93,77,88,12,55,96
Lisa,40,51,61,99,67,39,55,51
Laura,12,13,42,91,78,6,70,53
David,63,70,64,84,95,29,72,52
Yolanda,10,1,62,73,57,84,66,28
Jeffrey,94,95,75,82,61,36,46,49
Anthony,38,42,39,58,85,80,61,45
Debra,89,29,17,42,63,41,4,20
Donald,4,62,78,44,37,44,0,70
Seth,45,78,8,37,83,58,71,59
Robert,53,52,57,79,0,40,39,89
Wesley,42,71,27,97,56,80,97,78
Jessica,11,8,63,36,63,35,9,83
Veronica,32,0,49,65,17,10,20,97
Veronica,5,87,25,57,36,68,99,3
Tanner,47,5,14,45,13,59,73,55
Andrew,71,92,95,63,92,12,15,34
Thomas,94,53,23,11,57,63,55,47
Martha,77,22,95,56,20,2,7,52
Lisa,63,13,11,78,7,90,54,71
Riley,75,62,95,68,43,67,73,8
Yvonne,53,19,32,78,87,77,18,100
Jenna,81,26,6,85,56,41,86,77
Laura,13,83,39,78,37,57,4,42
Barry,54,44,82,61,90,49,6,51
Hannah,26,20,8,89,72,53,82,8
Kyle,62,27,87,69,49,9,87,75
Cassandra,87,4,31,20,67,98,22,76
Ashley,75,1,27,19,88,74,87,99
Joe,100,39,33,94,58,12,79,15
Tracy,99,66,20,68,94,86,48,91
Jason,60,100,8,88,67,36,66,79
John,8,9,49,48,34,64,0,3
Meghan,28,32,24,3,82,76,79,67
Michael,30,42,42,91,77,25,38,49
Kevin,91,30,98,83,96,34,74,72
Robert,14,32,70,76,12,55,93,96
Jennifer,23,1,77,44,95,18,83,2
Jennifer,68,18,61,21,66,77,79,28
Tina,56,32,38,86,98,34,86,5
Micheal,60,81,55,56,56,79,72,90
Megan,95,95,25,44,63,45,41,87
Karen,17,7,92,54,91,81,58,27
Autumn,80,35,9,71,18,86,79,100
Scott,56,36,1,43,40,25,95,42
Wendy,86,50,50,68,79,87,64,77
Elizabeth,26,3,23,3,61,27,43,86
Norma,80,24,9,29,18,44,69,16
Karen,75,75,43,25,70,9,57,80
Douglas,83,28,27,24,4,35,15,66
Heather,92,23,11,70,60,42,12,3
Patricia,22,96,28,82,72,48,85,14
Robin,76,79,52,1,67,69,69,67
Kathleen,71,27,14,100,32,59,32,8
Martin,52,48,22,65,35,97,43,88
Blake,13,26,53,49,47,89,92,19
Omar,12,33,91,41,90,77,95,83
Ronald,98,82,13,96,60,45,15,8
Marcus,93,64,92,24,95,3,59,54
Kimberly,39,17,75,17,49,55,66,80
Steven,49,65,94,13,90,15,7,15
Victoria,3,3,52,50,36,61,57,87
Jennifer,65,77,34,71,41,2,85,23
Jessica,89,36,9,21,86,49,41,0
James,27,19,22,26,15,45,33,26
Jack,29,92,77,58,95,72,49,0
Shaun,76,44,89,55,51,78,47,52
Elizabeth,99,84,54,65,34,78,21,6
Tiffany,76,30,85,61,73,98,20,0
Glenn,32,16,38,80,27,11,89,0
Tanner,70,61,85,31,3,31,92,22
Jason,9,62,93,90,45,77,81,95
Edwin,41,9,20,10,33,4,15,38
Christian,31,96,43,59,24,24,14,80
Kristin,43,0,91,72,100,61,69,11
Jose,63,92,79,81,19,66,4,36
Jennifer,74,35,88,66,85,67,91,60
Aaron,28,77,83,51,62,18,84,54
Jeffrey,68,62,76,43,20,58,62,84
Vincent,40,30,7,89,62,54,33,79
Keith,43,91,4,45,55,97,56,89
Madison,88,54,10,67,10,68,83,8
Nicole,32,54,53,45,90,49,52,1
Holly,94,40,27,43,57,2,6,41
Jay,31,38,55,7,1,36,70,17
Mikayla,74,7,80,72,0,12,82,85
David,66,92,45,66,96,40,67,96
Michael,8,14,13,57,39,68,78,48
Justin,93,87,51,3,20,45,1,48
Troy,72,98,67,76,95,95,92,5
Pamela,67,11,86,96,21,39,14,87
Katherine,30,77,94,33,86,12,67,95
Tammy,24,97,6,30,51,95,10,74
Teresa,23,75,68,79,7,97,40,71
Cody,95,64,14,11,62,1,90,2
Marvin,88,69,45,68,31,37,100,15
Julie,35,25,7,7,28,33,25,92
Angela,88,11,48,1,81,43,76,67
Carolyn,68,88,1,5,44,96,98,43
Jonathan,7,98,22,0,35,13,54,94
Richard,61,61,91,30,60,42,62,57
Kayla,28,12,38,44,5,55,86,5
Barbara,81,1,5,3,89,74,26,64
Michael,9,1,53,77,55,0,54,60
Theresa,63,31,52,29,100,75,60,100
Sharon,83,100,20,97,38,13,53,11
Catherine,43,67,17,67,91,72,72,49
Logan,14,39,89,39,95,15,7,3
John,26,20,98,98,41,12,1,78
Derek,32,89,60,18,75,43,11,91
Gerald,92,39,80,41,43,35,65,33
Jennifer,93,85,81,37,77,53,46,96
Shelby,45,4,4,84,5,95,84,20
Melanie,6,21,80,50,100,66,64,21
Leslie,30,11,2,62,50,93,19,27
David,27,58,9,100,77,59,67,9
Cynthia,35,4,12,48,54,70,24,79
Martha,55,78,19,40,75,33,85,22
Karen,70,7,31,34,21,59,55,74
Natalie,74,18,86,50,69,59,83,33
Andrea,83,24,41,38,12,96,99,77
Chelsea,88,83,86,86,61,31,14,58
Brianna,11,57,44,21,77,75,75,89
Sharon,36,84,58,57,25,25,100,0
Neil,13,65,52,50,82,42,20,20
Kathy,88,93,50,1,16,65,50,23
Stacie,41,55,91,2,81,26,73,68
Antonio,23,63,36,22,11,18,86,81
Joanna,90,79,3,45,48,78,89,31
Ashley,35,88,11,35,62,70,98,46
Matthew,25,24,40,85,25,11,49,42
Tammy,46,100,89,65,95,96,28,61
Kathleen,67,37,46,79,48,83,10,90
Tyrone,98,76,23,82,46,44,78,72
Jose,68,66,39,48,37,41,34,44
Jody,81,22,100,57,2,95,64,89
Emily,82,23,25,29,6,15,99,2
Christopher,34,27,64,22,16,39,81,90
Brandon,13,96,1,93,3,77,84,40
Evan,84,29,30,2,24,3,84,81
Diane,25,46,0,71,94,30,38,9
Corey,12,32,51,78,95,67,88,22
Joshua,69,19,4,60,81,44,26,78
Sara,49,87,41,56,50,37,62,5
Ashley,100,97,19,17,97,61,98,65
Manuel,25,24,80,39,93,78,59,22
Laurie,66,44,31,44,65,25,51,89
Felicia,31,2,70,55,23,34,27,84
Aaron,60,47,67,54,68,27,39,43
Nicholas,60,6,51,57,24,15,35,85
Ricardo,13,53,6,76,29,29,19,30
Adriana,74,49,74,87,1,59,100,75
Scott,14,71,80,30,57,90,29,90
Chloe,71,54,57,22,41,98,68,5
Valerie,66,16,77,72,49,44,59,62
James,74,20,61,94,84,79,37,36
Regina,85,28,33,8,7,70,86,26
Robert,27,11,100,73,79,66,2,43
Melanie,59,79,68,10,50,40,69,53
Sandra,43,62,74,17,3,82,43,51
Joanna,61,64,73,96,83,69,81,78
Christopher,82,22,59,9,95,27,32,96
Kara,2,89,82,52,98,55,90,93
Laura,49,74,28,57,52,100,72,77
Christopher,62,47,36,50,39,19,53,48
Paul,100,33,26,65,21,66,83,20
Kelly,3,98,51,92,68,29,80,86
Eric,60,22,81,46,6,5,65,77
Katherine,63,17,39,94,81,12,89,66
Elizabeth,20,55,39,94,40,53,28,66
Megan,57,100,94,43,93,1,45,7
Sarah,25,78,3,3,39,66,10,13
Steven,15,89,74,63,19,94,100,13
Kenneth,14,41,94,83,87,4,26,1
Michael,81,90,50,63,21,15,86,6
Susan,12,73,15,100,65,5,98,75
Aaron,93,3,89,62,86,24,50,5
Michael,4,16,20,20,64,74,54,53
Christopher,40,77,26,53,92,64,28,51
Susan,38,19,10,83,81,15,56,79
Erica,58,25,98,37,60,95,75,92
Destiny,55,66,76,0,92,72,87,52
Brandon,8,95,98,90,69,72,41,35
Brittany,85,10,93,44,91,88,98,65
Melissa,30,97,45,37,63,29,44,100
Matthew,89,66,61,32,96,55,23,59
Raymond,85,95,48,7,33,98,27,63
Mandy,67,59,0,85,45,69,97,79
Nathan,58,73,3,60,85,17,89,29
Patricia,16,13,39,34,21,89,59,37
Alexandra,82,56,85,54,17,45,2,54
Taylor,40,74,56,17,43,17,19,47
Shelley,95,69,24,72,3,41,57,87
William,17,97,95,62,33,76,81,24
Kimberly,8,12,39,73,67,99,92,21
Stephen,100,32,54,51,40,95,32,31
Natalie,99,13,98,18,30,21,58,43
Christopher,82,11,65,76,51,92,100,69
Gregory,51,45,73,19,34,100,58,9
William,7,96,54,15,32,26,11,27
Ryan,96,95,71,62,32,69,11,91
Deborah,72,63,57,1,33,18,34,20
Michelle,2,99,80,77,76,64,15,60
Molly,63,61,36,19,54,72,2,79
Kelly,1,26,1,91,78,13,49,19
Derek,79,93,15,87,63,83,3,44
Sean,100,83,80,69,41,37,16,47
Erica,46,87,56,64,84,13,44,74
Cynthia,20,17,67,83,16,50,64,36
Carol,63,92,4,72,42,8,47,16
Richard,25,97,19,40,91,48,100,35
Lisa,42,54,9,29,10,90,74,66
Eric,9,45,56,72,10,6,46,8
Patricia,21,18,88,49,9,84,83,18
Derrick,15,2,53,36,83,38,65,62
Donna,25,19,41,44,14,61,92,97
Cody,29,71,65,41,18,53,8,7
Julie,21,25,20,77,69,86,100,17
Kevin,30,94,19,90,21,96,55,89
Wendy,76,10,47,70,8,15,94,31
Aaron,100,80,63,84,32,76,3,71
Kevin,11,52,72,85,89,26,55,27
Heather,13,54,74,31,95,90,16,6
John,65,39,15,89,88,35,97,1
Erin,36,86,59,67,96,63,31,26
Karen,37,1,69,70,36,82,53,99
Crystal,32,28,2,74,16,0,36,53
Annette,43,96,89,55,13,66,4,56
Laura,30,52,88,29,9,88,79,84
Andrew,8,33,22,9,36,93,96,80
Caroline,77,58,14,30,98,34,57,76
Deborah,87,69,75,98,80,75,8,89
Gina,1,77,56,89,47,7,81,93
Curtis,18,35,38,76,99,90,27,59
Jason,28,26,71,90,40,95,13,19
Ashley,7,70,6,27,89,45,74,42
Shane,0,17,47,43,94,29,8,79
Jeffrey,79,87,34,18,93,45,35,60
Jasmine,37,32,3,69,21,59,80,72
Richard,99,68,18,32,48,24,71,27
Anthony,39,92,98,3,11,57,78,85
Cathy,28,18,69,35,23,62,1,90
Donald,81,44,37,9,79,98,71,91
Christine,51,95,29,77,40,44,79,83
Jessica,60,27,7,98,99,24,57,25
Michele,47,21,88,74,13,9,44,33
Tammy,93,85,63,4,35,39,20,6
Andrew,53,91,52,98,44,50,92,8
Teresa,10,65,75,73,10,8,52,52
Christopher,43,18,42,13,11,37,14,7
Gavin,1,52,1,52,7,97,92,17
James,88,19,28,18,4,32,9,67
Derrick,72,13,18,9,60,41,83,98
Jennifer,63,86,25,37,7,76,66,84
Megan,13,84,54,96,28,34,43,88
Tara,15,53,5,66,61,45,42,12
Margaret,82,23,80,36,99,57,36,89
Brianna,92,85,86,65,67,48,51,93
Lance,35,99,64,25,84,1,18,78
Joseph,1,20,27,73,37,69,91,30
Alan,21,31,6,82,72,56,55,99
Natasha,60,10,73,91,64,85,87,92
Chad,69,90,2,49,10,4,84,63
Veronica,79,31,68,54,24,29,95,34
Austin,34,55,59,63,50,61,54,67
Debra,86,83,6,32,63,40,49,25
Anthony,40,69,31,40,80,98,58,54
Todd,82,77,48,41,76,62,24,93
Stephen,60,35,97,83,61,15,78,79
Laura,70,13,31,68,51,34,0,38
Cheyenne,8,81,47,22,87,86,38,16
Nancy,25,73,85,44,46,29,53,49
Brandi,32,61,18,72,87,41,62,40
Brett,75,17,8,40,19,69,71,83
Jessica,58,68,74,86,3,7,90,24
Maria,61,17,81,6,62,10,2,46
Joseph,99,12,71,84,87,8,2,44
Christopher,37,31,87,75,69,90,95,57
Antonio,43,59,86,33,31,63,85,48
James,88,68,45,13,60,25,64,100
John,76,37,82,14,82,69,32,92
Melissa,92,57,63,8,99,4,42,95
Kenneth,91,94,31,21,37,19,70,70
Jennifer,81,66,40,24,48,59,17,19
Alicia,54,95,18,13,47,64,56,43
William,58,21,100,72,15,16,17,92
Jessica,33,91,70,55,8,35,89,43
Denise,4,72,27,81,79,85,6,91
Antonio,87,93,37,42,2,69,15,49
Phillip,23,63,41,58,77,70,57,51
Heather,64,67,33,75,51,25,85,30
James,57,42,98,77,59,35,73,78
Scott,44,10,70,21,91,15,38,6
Scott,70,43,76,19,97,38,73,62
Rachel,67,66,3,67,15,75,60,8
Eric,99,73,31,21,72,28,58,70
Timothy,0,0,12,17,3,46,28,61
Natalie,79,69,59,1,52,36,0,41
Richard,42,88,31,45,100,58,2,95
Gary,38,75,100,46,54,75,9,75
Sara,62,84,92,47,41,54,92,26
Jason,92,22,63,59,59,43,55,98
Brian,54,56,43,8,41,88,5,4
Joseph,10,63,4,41,84,86,70,62
Vicki,28,28,38,12,34,68,22,0
Peter,95,64,46,18,6,68,21,38
Troy,80,75,90,35,38,51,70,63
David,65,23,2,58,35,91,6,77
Patrick,88,95,83,55,44,37,89,16
Beverly,96,9,20,23,38,69,6,92
Christopher,9,12,13,96,96,89,84,27
Cody,49,63,47,6,70,46,83,62
Kenneth,93,11,97,72,7,81,23,82
Rhonda,36,34,20,23,54,69,32,66
Elizabeth,65,98,3,84,28,74,54,76
Brian,56,80,17,95,41,55,51,49
Emily,57,5,57,100,44,23,85,50
Gabriel,91,9,66,9,65,87,89,98
Stephanie,97,9,55,64,35,58,51,40
Eric,71,63,28,58,6,3,49,49
Jeffrey,96,13,57,21,90,47,71,12
Cynthia,10,37,39,4,52,14,59,70
Michael,75,63,89,83,62,77,30,5
Robert,51,63,45,71,10,60,50,55
Catherine,53,31,8,14,40,50,66,86
Kevin,31,3,9,36,14,3,64,59
Amy,78,39,55,95,94,80,30,52
Claire,100,43,21,76,50,2,41,51
Alexandra,85,19,49,5,59,50,41,54
Ashley,100,44,31,22,0,35,58,94
Michael,60,49,26,70,40,53,84,66
Angel,58,10,5,23,98,39,45,29
Steven,96,71,85,64,30,9,15,92
Jeremiah,42,48,0,1,19,86,82,77
Anthony,48,82,66,66,79,53,39,45
Jason,37,96,29,4,7,17,23,12
Johnny,52,94,94,99,81,38,88,88
George,56,11,5,100,91,84,96,82
Shane,56,83,63,42,34,48,64,77
Darren,98,14,14,97,58,62,74,74
Melinda,46,45,73,15,84,98,0,80
Robert,48,21,19,56,18,26,91,41
Hector,47,76,65,77,38,89,38,34
Derrick,14,31,88,40,60,93,52,34
Katherine,61,77,44,99,10,71,61,78
Alexander,82,89,19,31,71,50,36,94
Robert,34,93,100,37,23,31,24,20
Christopher,27,47,48,15,23,50,54,52
Logan,46,32,86,39,98,76,81,58
Emily,46,73,0,70,21,49,95,92
Eric,77,65,3,78,68,35,67,75
Danielle,3,27,83,98,62,45,20,43
Clifford,63,62,22,4,43,31,51,78
Elizabeth,72,33,82,17,7,52,36,81
Lisa,37,75,52,49,6,8,27,39
Brian,19,43,39,1,66,70,86,26
Mary,59,10,75,40,74,1,63,78
James,26,3,22,77,92,23,97,28
Henry,43,42,90,25,90,11,41,90
Jeffrey,51,41,38,51,12,82,23,36
Kyle,46,36,74,66,73,23,20,53
Alicia,39,97,82,5,65,76,79,91
Monique,9,70,14,31,58,11,16,39
Lisa,49,77,27,3,70,13,44,84
Dana,18,45,89,55,33,61,77,86
Loretta,12,66,28,13,79,83,83,88
Troy,15,78,28,53,67,41,8,15
Katie,94,26,76,83,47,72,52,13
Sheryl,44,42,58,42,87,31,42,47
John,30,91,9,31,43,2,61,76
Zachary,51,34,7,54,6,36,31,2
Matthew,50,85,35,13,15,62,85,17
Emily,68,85,66,72,42,76,41,26
Michelle,56,19,37,77,14,65,49,84
Keith,24,2,71,93,12,67,24,55
Ashley,58,33,13,73,99,55,90,46
Amber,100,15,8,51,3,32,56,66
Kevin,87,49,41,74,76,53,87,33
David,64,36,50,3,18,51,14,97
Michele,76,63,4,72,71,71,34,80
Jennifer,0,56,54,49,74,79,41,100
Sabrina,6,58,63,28,32,95,55,49
Thomas,10,90,80,66,73,74,51,28
Edward,99,37,77,56,94,84,37,12
Ricardo,19,82,7,94,27,55,13,44
Stephanie,77,9,12,71,55,34,90,95
Joe,48,63,60,29,6,14,89,24
Lori,94,70,27,34,77,35,53,39
Yvette,78,13,53,75,17,13,37,86
Joe,65,15,56,6,17,12,94,13
Michelle,47,79,38,19,29,6,71,40
Megan,57,27,2,51,21,59,35,8
Carolyn,73,89,65,87,97,17,49,64
Sheri,26,39,52,70,59,15,65,26
Theresa,69,0,2,21,68,27,84,6
Keith,52,82,0,44,24,18,34,35
Charles,67,27,19,10,13,17,76,77
Shelia,2,18,54,7,9,81,25,28
Dawn,29,8,32,87,98,10,45,64
Peter,96,26,35,80,72,73,25,16
Amanda,70,53,1,92,14,19,16,69
Veronica,63,51,33,45,17,20,7,74
Michael,21,66,9,24,66,68,82,95
Emily,26,30,92,53,92,62,3,46
Charles,72,45,55,25,5,94,43,69
Lindsey,92,99,62,82,18,27,90,3
Robert,18,57,11,20,93,58,87,27
David,34,42,39,21,22,42,66,2
Christopher,97,7,100,82,6,44,41,12
Travis,5,11,25,10,69,91,49,99
Diane,83,17,42,32,25,72,8,49
Lisa,90,41,20,52,5,52,57,15
Cody,44,9,97,30,100,67,44,64
Keith,67,91,58,67,67,90,61,60
Shane,0,22,1,82,22,0,24,36
Gary,57,27,37,35,91,13,46,52
Ronald,11,56,52,37,30,33,33,45
Carly,94,92,70,92,32,89,32,98
Emily,42,18,79,15,22,39,98,59
Jacob,21,43,25,12,10,27,67,79
Anthony,21,56,11,95,73,47,78,18
Martin,38,38,0,52,0,31,66,84
Stephen,92,80,73,21,99,25,40,32
Thomas,1,55,45,38,58,32,77,4
Cory,51,78,77,38,60,2,62,43
